x,y,v
1,2.5,7.2588
1,3.5,6.65
1,4.5,6.047
1,5.5,5.446
1,6.5,4.851
1,7.5,4.265
1,8.5,3.607
1,9.5,2.894
1,10.5,2.142
4,2.5,7.818
4,3.5,7.136
4,4.5,6.389
4,5.5,5.604
4,6.5,4.805
4,7.5,3.999
4,8.5,3.213
4,9.5,2.374
4,10.5,1.648
7,2.5,8.942
7,3.5,7.841
7,4.5,6.734
7,5.5,5.714
7,6.5,4.675
7,7.5,3.768
7,8.5,2.853
7,9.5,1.806
7,10.5,1.331
10,2.5,7.07
10,3.5,6.77
10,4.5,6.129
10,5.5,5.278
10,6.5,4.448
10,7.5,3.603
10,8.5,2.765
10,9.5,1.952
10,10.5,1.423
13,2.5,6.05
13,3.5,6.178
13,4.5,5.594
13,5.5,4.899
13,6.5,4.352
13,7.5,3.684
13,8.5,3.061
13,9.5,2.519
13,10.5,1.953
15,2.5,6.454
15,3.5,6.027
15,4.5,5.539
15,5.5,4.962
15,6.5,4.352
15,7.5,3.745
15,8.5,3.213
15,9.5,2.683
15,10.5,2.186
