X,Y,V
2,2.5,7.509
2,3.5,6.961
2,4.5,6.466
2,5.5,5.927
2,6.5,5.541
2,7.5,5.2
2,8.5,4.872
2,9.5,4.6
2,10.5,4.361
2,11.5,4.17
3,2.5,7.898
3,3.5,7.183
3,4.5,6.552
3,5.5,5.895
3,6.5,5.419
3,7.5,5.009
3,8.5,4.659
3,9.5,4.362
3,10.5,4.139
3,11.5,3.952
4,2.5,8.2
4,3.5,7.341
4,4.5,6.569
4,5.5,5.858
4,6.5,5.269
4,7.5,4.804
4,8.5,4.373
4,9.5,4.028
4,10.5,3.799
4,11.5,3.678
5,2.5,8.386
5,3.5,7.497
5,4.5,6.545
5,5.5,5.759
5,6.5,5.07
5,7.5,4.5
5,8.5,4.047
5,9.5,3.598
5,10.5,3.373
5,11.5,3.288
6,2.5,8.676
6,3.5,7.592
6,4.5,6.512
6,5.5,5.541
6,6.5,4.79
6,7.5,4.088
6,8.5,3.5
6,9.5,3.051
6,10.5,2.652
6,11.5,2.695
7,2.5,9.044
7,3.5,7.82
7,4.5,6.426
7,5.5,5.152
7,6.5,4.303
7,7.5,3.625
7,8.5,2.99
7,9.5,2.193
7,10.5,1.594
7,11.5,2.202
8,3.5,7.93
8,4.5,6.259
9,2.5,9.044
9,3.5,7.82
9,4.5,6.426
9,5.5,5.152
9,6.5,4.303
9,7.5,3.625
9,8.5,2.99
9,9.5,2.193
9,10.5,1.594
9,11.5,2.202
10,2.5,8.676
10,3.5,7.592
10,4.5,6.512
10,5.5,5.541
10,6.5,4.79
10,7.5,4.088
10,8.5,3.5
10,9.5,3.051
10,10.5,2.652
10,11.5,2.695
11,2.5,8.386
11,3.5,7.497
11,4.5,6.545
11,5.5,5.759
11,6.5,5.07
11,7.5,4.5
11,8.5,4.047
11,9.5,3.598
11,10.5,3.373
11,11.5,3.288
12,2.5,8.2
12,3.5,7.341
12,4.5,6.569
12,5.5,5.858
12,6.5,5.269
12,7.5,4.804
12,8.5,4.373
12,9.5,4.028
12,10.5,3.799
12,11.5,3.678
13,2.5,7.898
13,3.5,7.183
13,4.5,6.552
13,5.5,5.895
13,6.5,5.419
13,7.5,5.009
13,8.5,4.659
13,9.5,4.362
13,10.5,4.139
13,11.5,3.952
14,2.5,7.509
14,3.5,6.961
14,4.5,6.466
14,5.5,5.927
14,6.5,5.541
14,7.5,5.2
14,8.5,4.872
14,9.5,4.6
14,10.5,4.361
14,11.5,4.17
