x,y,V
1,0.5,7.102
1,1.5,6.976
1,2.5,6.811
1,3.5,6.591
1,4.5,6.336
1,5.5,6.052
1,6.5,5.757
1,7.5,5.233
1,8.5,5.198
1,9.5,4.956
1,10.5,4.726
1,11.5,4.512
2,0.5,7.234
2,1.5,7.089
2,2.5,6.975
2,3.5,6.715
2,4.5,6.441
2,5.5,6.131
2,6.5,5.818
2,7.5,5.443
2,8.5,5.134
2,9.5,4.738
2,10.5,4.552
2,11.5,4.312
3,0.5,7.417
3,1.5,7.339
3,2.5,7.184
3,3.5,6.969
3,4.5,6.638
3,5.5,6.285
3,6.5,5.889
3,7.5,5.451
3,8.5,5.025
3,9.5,4.661
3,10.5,4.336
3,11.5,4.008
4,0.5,7.652
4,1.5,7.605
4,2.5,7.503
4,3.5,7.288
4,4.5,6.971
4,5.5,6.551
4,6.5,5.974
4,7.5,5.433
4,8.5,4.888
4,9.5,4.389
4,10.5,3.986
4,11.5,3.754
5,0.5,7.911
5,1.5,7.931
5,2.5,7.877
5,3.5,7.745
5,4.5,7.422
5,5.5,6.955
5,6.5,6.239
5,7.5,5.428
5,8.5,4.624
5,9.5,3.951
5,10.5,3.456
5,11.5,3.225
6,0.5,8.212
6,1.5,8.335
6,2.5,8.378
6,3.5,8.363
6,4.5,8.211
6,5.5,7.722
6,6.5,6.687
6,7.5,5.562
6,8.5,4.339
6,9.5,3.397
6,10.5,2.728
6,11.5,2.542
7,0.5,8.516
7,1.5,8.839
7,2.5,8.977
7,3.5,0
7,4.5,0
7,5.5,0
7,6.5,7.151
7,7.5,5.462
7,8.5,3.902
7,9.5,2.549
7,10.5,1.568
7,11.5,1.501
8,0.5,0
8,1.5,0
8,2.5,0
8,3.5,0
8,4.5,0
8,5.5,0
8,6.5,7.352
8,7.5,5.492
8,8.5,3.579
8,9.5,1.628
8,10.5,0
8,11.5,0
9,0.5,8.594
9,1.5,9.109
9,2.5,9.179
9,3.5,0
9,4.5,0
9,5.5,0
9,6.5,7.009
9,7.5,5.462
9,8.5,3.945
9,9.5,2.171
9,10.5,735
9,11.5,548
10,0.5,8.323
10,1.5,8.481
10,2.5,8.524
10,3.5,8.462
10,4.5,8.447
10,5.5,7.804
10,6.5,6.723
10,7.5,5.519
10,8.5,4.246
10,9.5,3.112
10,10.5,1.273
10,11.5,982
11,0.5,7.932
11,1.5,7.623
11,2.5,7.412
11,3.5,7.295
11,4.5,7.056
11,5.5,6.455
11,6.5,6.292
11,7.5,5.383
11,8.5,4.113
11,9.5,3.565
11,10.5,2.244
11,11.5,2.121
12,0.5,7.732
12,1.5,7.578
12,2.5,7.503
12,3.5,7.356
12,4.5,7.143
12,5.5,6.641
12,6.5,6.067
12,7.5,5.389
12,8.5,4.742
12,9.5,4.184
12,10.5,3.119
12,11.5,2.909
13,0.5,7.493
13,1.5,7.315
13,2.5,7.201
13,3.5,7.074
13,4.5,6.731
13,5.5,6.362
13,6.5,5.636
13,7.5,5.421
13,8.5,4.918
13,9.5,4.311
13,10.5,3.663
13,11.5,3.906
14,0.5,7.287
14,1.5,7.198
14,2.5,7.053
14,3.5,6.858
14,4.5,6.564
14,5.5,6.232
14,6.5,5.837
14,7.5,5.412
14,8.5,5.051
14,9.5,4.714
14,10.5,4.454
14,11.5,3.714
15,0.5,7.161
15,1.5,7.067
15,2.5,6.911
15,3.5,6.675
15,4.5,6.407
15,5.5,6.123
15,6.5,5.781
15,7.5,5.452
15,8.5,5.142
15,9.5,4.866
15,10.5,4.636
15,11.5,4.403
